username,product_name,behavior,price
lamifesa,Aubrey Organics Hydrating Shampoo Normal Blue Chamomile -- 16 fl oz,view,
lamifesa,Aubrey Organics Hydrating Shampoo Normal Blue Chamomile -- 16 fl oz,,
lamifesa,White Camellia Ultra-Smoothing Shampoo 11oz,view,
lamifesa,White Camellia Ultra-Smoothing Shampoo 11oz,,
lamifesa,White Camellia Ultra-Smoothing Shampoo 11oz,view,
lamifesa,White Camellia Ultra-Smoothing Shampoo 11oz,view,
lamifesa,Port Authority - Stretch Fleece Headband,view,
lamifesa,Port Authority - Stretch Fleece Headband,view,
lamifesa,"Betty Dain Stylish Design Mold Resistant Shower Cap, The Hipster Collection, &quot;Flower Power&quot;",view,
lamifesa,"Scunci No-slip Grip Flat Bright Headwraps, 4mm",view,
lamifesa,"Scunci No-slip Grip Flat Bright Headwraps, 4mm",view,
aredita,"Maybelline New York Lash Discovery Waterproof Mascara, Very Black 361, 0.16 Fluid Ounce",view,
lamifesa,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette,view,
lamifesa,Professional 15 Concealer Camouflage Makeup Palette BuyinCoins,view,
lamifesa,"Elma and Sana 100% Pure Moroccan Rose Water, 4 Ounce",view,
lamifesa,"Elma and Sana 100% Pure Moroccan Rose Water, 4 Ounce",view,
lamifesa,"Elma and Sana 100% Pure Moroccan Rose Water, 4 Ounce",view,
lamifesa,"Facial Mask - Fresh Bentonite, Kaolin, BC Collodial Clay, MSM, Mud Mask - Skin Care Treatment - Men Women - Best Natural Organic Moisturizer - Deep Cleansing For Dry &amp; Oily Skin, Acne, Eczema, Psoriasis - Anti Aging Face Exfoliator Renews Your Skin",view,
lamifesa,"Skin MD Natural Shielding Lotion 8 Oz. Bottle (236 mL) for Hands, Face &amp; Body",view,
lamifesa,Shea Terra Eau de Rose du Maroc Distillate Water 4 oz.,view,
lamifesa,"Skin MD Natural Shielding Lotion 4 Oz. Bottle (117 mL) for Hands, Face &amp; Body",view,
lamifesa,"Skin MD Natural Shielding Lotion 4 Oz. Bottle (117 mL) for Hands, Face &amp; Body",view,
lamifesa,"Skin MD Natural Shielding Lotion 4 Oz. Bottle (117 mL) for Hands, Face &amp; Body",view,
lamifesa,"Elma and Sana 100% Pure Moroccan Rose Water, 4 Ounce",view,
lamifesa,"Skin MD Natural Shielding Lotion 4 Oz. Bottle (117 mL) for Hands, Face &amp; Body",view,
lamifesa,"Skin MD Natural Shielding Lotion 4 Oz. Bottle (117 mL) for Hands, Face &amp; Body",view,
lamifesa,"Skin MD Natural Shielding Lotion 4 Oz. Bottle (117 mL) for Hands, Face &amp; Body",view,
lamifesa,"Shea Butter - Smooth Luxurious - Intense Long Lasting Moisturization in a Beautiful Scent - Ultra Rich Whipped Shea Body Butter Easily Absorbed Into Your Skin - Heals Extremely Dry, Rough or Damaged Skin - Leaving Your Skin Feeling and Looking Soft and Rejuvenated. This Is an FDA Certified Product.",view,
dera,"Paul Mitchell Tea Tree Lavender Mint Moisturizing Shampoo, 10.14 Ounce",view,
dera,ApHogee Shampoo for Damaged Hair,view,
dera,ApHogee Shampoo for Damaged Hair,view,
dera,"Dermorganic Leave-in Treatment with Argan Oil, 4 Ounce",view,
dera,"Renpure Organics Brazilian Keratin Silky Straight Intense Conditioner, 8 Ounce (Pack of 2)",view,
dera,Redken All Soft Shampoo and Conditioner 33.8 oz DUO,view,
dera,Redken All Soft Shampoo and Conditioner 33.8 oz DUO,view,
dera,"Carol's Daughter, Tui Hair Smoothie, 8-Ounce",view,
dera,Aussie 3 Minute Miracle Moist Deeeeep Conditioner 8 fl oz (2 pack),view,
dera,"Renpure Organics Brazilian Keratin Silky Straight Intense Conditioner, 8 Ounce (Pack of 2)",view,
